me_eng,Species,b0,b1,b2,Di1,Dij1,Di2,Dij2,Dijk
Alpine fir,ABIELAS,4.8689,0.3822,2.1805,0,0,0,0,0.0823
Balsam Fir,ABIEBAL,10.4602,0.2401,2.211,0.0913,0,0,0.078,0.0872
Balsam Poplar,POPUBAL,6.0469,0.3672,2.1855,0,0.0499,0.0569,0,0.0642
Basswood,TILIAMA,10.1134,0.1957,2.1507,0,0.0155,0,0,0.1035
Beech,FAGUGRA,10.8759,0.239,2.1514,0,0.0285,0.0731,0,0.079
Black Ash,FRAXNIG,9.3651,0.3037,2.1589,0,0,0,0,0.0701
Black Cherry,PRUNSER,204.8406,-0.7245,2.1872,0,0.0567,0,0,0.0001
Black Spruce,PICEMAR,15.7745,0.15,2.2548,0.1639,0,0,0.0746,0.0816
Black poplar,POPUNIG,2.9195,0.5727,2.2118,0,0,0,0,0.1092
Douglas-fir,PSEUMEN,504.288,-0.7858,2.1973,0.2014,0.0778,0,0,0.0661
Eastern Hemlock,TSUGCAN,5.9068,0.3675,2.1633,0.0284,0.0496,0,0,0.0774
Eastern White Cedar,THUJOCC,10.6555,0.1222,2.2283,0,0.0457,0.07,0,0.0993
Eastern White Pine,PINUSTR,13.0372,0.1932,2.2333,0,0.0711,0,0,0.1045
Engelmann spruce,PICEENG,1.9517,0.7223,2.1812,0,0,0,0.0584,0.049
Hickory,CARYSPP,6.227,0.3651,2.2766,0,0,0,0,0.1168
Jack Pine,PINUBAN,15.5003,0.0654,2.1485,0,0.0675,0.025,0,0.0636
Largetooth Aspen,POPUGRA,10.3104,0.2124,2.0805,0,0.0394,0,0,0.0448
Lodgepole Pine,PINUCON,11.8367,0.246,2.1264,0,0.0953,0.033,0,0
Manitoba maple,ACERNEG,5.6077,0.2909,2.137,0,0.0001,0,0,0.0553
Red Ash,FRAXPEN,26.6285,-0.0106,2.1971,0,0,0,0,0.0001
Red Maple,ACERRUB,7.8918,0.254,2.1212,0.0927,0.0977,0,0,0.0743
Red Oak,QUERRUB,44.7444,-0.2235,2.2605,0,0,0,0,0.1269
Red Pine,PINURES,20.296,-0.0353,2.1781,0,0.1358,0,0,0.0449
Red Spruce,PICERUB,20.6225,0.0091,2.1352,0,0,0,0,0.0476
Silver Maple,ACERSAC,201.2468,-0.5842,2.3036,0,0,0,0,0
Sugar Maple,ACERSAH,9.7271,0.2095,2.1706,0,0.0278,0,0,0.1115
Tamarack,LARILAR,59.2599,-0.3284,2.2219,0.0617,0.0432,0,0,0.0771
Trembling Aspen,POPUTRE,6.7233,0.4554,2.1583,0.2207,0,0,0.0699,0.0653
White Ash,FRAXAME,71.2866,-0.3535,2.2328,0,0.0004,0,0,0.0968
White Birch,BETUPAP,22.143,0.0233,2.2069,0.1158,0,0,0,0.0874
White Elm,ULMUAME,2.3524,0.5602,2.2465,0,0,0,0,0.1449
White Oak,QUERALB,10.3196,0.0802,2.2391,0,0,0,0,0.103
White Spruce,PICEGLA,5.7006,0.4099,2.1581,0,0.0649,0.0452,0,0.0631
Yellow Birch,BETUALL,30.7651,-0.003,2.3058,0,0,0,0,0.1316
