plant_code,t,a,b,c,d,e,nv_a,nv_b,nv_c
PIST,0.184,0.691,363.676,0.9604,-0.166,-0.7868,-999,-999,-999
PIBA2,0.184,0.691,363.676,0.9604,-0.166,-0.7868,-999,-999,-999
PIRE,0.184,0.691,363.676,0.9604,-0.166,-0.7868,-999,-999,-999
PIMA,0.164,3.092,253.123,0.9604,-0.166,-0.7868,-999,-999,-999
PIGL,0.176,2.184,287.181,0.9604,-0.166,-0.7868,-999,-999,-999
ABBA,0.152,2.139,301.634,0.9604,-0.166,-0.7868,-999,-999,-999
LALA,0.213,3.541,295.289,0.9604,-0.166,-0.7868,-999,-999,-999
POTR5,0.127,-0.312,436.683,0.9604,-0.166,-0.7868,-999,-999,-999
BEPA,0.176,2.222,300.373,0.9604,-0.166,-0.7868,-999,-999,-999
BEAL2,0.181,1.475,369.588,0.9604,-0.166,-0.7868,-999,-999,-999
ACRU,0.176,2.222,300.373,0.9604,-0.166,-0.7868,-999,-999,-999
BEPO,0.176,2.222,300.373,0.9604,-0.166,-0.7868,-999,-999,-999
