district,t,a,b,c,d,e,nv_a,nv_b,nv_c
2,-999,103.609,24081.6,0.94887,0.033554,-0.538523,0.908028,0.17713,-0.691993
4,-999,265.5,25703,0.95693,0.0145,-0.52473,0.92645,-0.0561,-0.4103
5,-999,701.669,18339.2,0.96771,-0.075511,-0.296611,0.913574,0.151089,-0.548499
6,-999,221.735,26194.7,0.979041,-0.136302,-0.270339,0.823445,0.509031,-1.113124
7,-999,221.735,26194.7,0.970494,-0.136302,-0.270339,0.823445,0.509031,-1.113124
8,-999,410.642,20619.1,0.972089,-0.091555,-0.265896,0.979059,-0.241433,-0.07342
9,-999,637.508,19483.9,0.991722,-0.295545,0.005044,0.831684,0.026773,-0.004683
10,-999,232.837,25533.5,0.973079,-0.078912,-0.382876,0.852451,0.434123,-0.996256
11,-999,250.038,25895.4,0.976197,-0.111445,-0.329052,0.968237,-0.173999,-0.287188
12,-999,564.943,21351.5,0.976105,-0.14372,-0.209912,0.213688,4.34915,-6.086958
13,-999,61.3,28162,0.96511,-0.04424,-0.4465,0.84868,0.3249,-0.8821
14,-999,493.562,21638.5,0.982363,-0.223579,-0.19622,0.973822,-0.487512,0.243262
15,-999,359.545,24820.5,0.989523,-0.264598,-0.200187,1.135679,-1.85546,2.11607
16,-999,434.071,21962.4,0.969936,-0.125432,-0.346514,0.908656,-0.038002,-0.427857
17,-999,315.579,30525.9,0.973515,-0.175156,-0.397072,0.984112,-0.561918,0.15881
18,-999,738.709,28667.6,0.983174,-0.256851,-0.40572,0.911441,0.061013,-0.798157
19,-999,353.675,24667.5,0.965961,-0.074168,-0.411016,0.701274,1.15934,-1.835772
