Species,region_type,region,a0,a1,a2,b1,b2,b3,b4,b5,source_table
PINU.BAN,ecoregion,148,1.1236,0.9006,1.0018,0.1738,-0.0251,-0.1237,0.1434,0.1157,Table 5
PINU.BAN,ecoregion,152-154,1.6336,0.7698,1.0025,0.5719,-0.0924,0.9974,-0.5121,0.3402,Table 5
PINU.BAN,ecoregion,155,1.095,0.8971,1.0018,0.5162,-0.0564,0.356,-0.2258,0.2933,Table 5
PINU.BAN,ecoregion,88,0.969,0.9568,1.0012,-0.0805,-0.0659,0.4314,0.1196,-0.0685,Table 5
PINU.BAN,ecoregion,89,0.8864,1.013,0.9964,0.0695,-0.0178,-0.1669,0.2151,0.0784,Table 5
PINU.BAN,ecoregion,90,1.2446,0.7872,1.0122,0.1648,-0.0351,-0.2493,0.2737,0.0284,Table 5
PINU.BAN,ecoregion,91,0.9138,0.982,0.9985,0.2919,-0.0414,0.1462,0.0168,0.1665,Table 5
POPU.BAL,ecoregion,152-154,0.2569,1.5383,0.9751,0.7719,-0.1105,0.1448,-0.0811,0.1324,Table 2
PICE.GLA,ecozone,Boreal Plain,0.7524,1.0797,0.9939,0.2469,-0.0669,0.1921,0.0374,0.1218,Table 8
PICE.GLA,ecozone,Boreal Shield,0.6554,1.133,0.9923,0.1801,-0.0592,0.1254,0.0996,0.123,Table 8
POPU.TRE,ecozone,Boreal Plain,0.456,1.2991,0.9859,1.0188,-0.1311,0.5736,-0.3198,0.1047,Table 5
POPU.TRE,ecozone,Boreal Shield,0.7855,1.058,0.995,0.1203,-0.0713,0.3202,0.2354,-0.212,Table 5
PICE.GLA,province,Provincial,0.6977,1.1086,0.9931,0.2342,-0.0653,0.1814,0.0491,0.1233,Table 8
PICE.MAR,province,Provincial,0.8894,1.0163,0.995,0.2866,-0.0853,0.6307,-0.1714,0.1491,Table 11
PINU.BAN,province,Provincial,0.9674,0.9746,0.9976,0.1459,-0.0402,0.0487,0.1266,0.0753,Table 18
POPU.TRE,province,Provincial,0.6549,1.128,0.993,0.9223,-0.1311,0.6458,-0.2967,0.067,Table 5
